Switch Number (SW__),Key,Key when Shift Pressed
1,`,~
2,6,^
3,=,+
4,u,U
5,j,J
6,h,H
7,z,Z
8,m,M
9,↓,↓
10,1,!
11,7,&
12,w,W
13,i,I
14,k,K
15,g,G
16,x,X
17,",",<
18,→,→
19,2,@
20,8,*
21,e,E
22,o,O
23,l,L
24,f,F
25,c,C
26,.,>
27,←,←
28,3,#
29,9,(
30,r,R
31,p,P
32,;,:
33,d,D
34,v,V
35,/,?
36,control,control
37,4,$
38,0,)
39,t,T
40,[,{
41,',""""
42,s,S
43,b,B
44,↑,↑
45,alt,alt
46,5,%
47,-,_
48,y,Y
49,],}
50,q,Q
51,a,A
52,n,N
53,🪟,🪟
54,control,control
55,alt,alt
56,\,|
57,tab,tab
58,caps lock,caps lock
59,shift,shift
60,backspace,backspace
61,enter,enter
62,shift,shift
63,space,space
